query,actual col,T0.6 selected col,T0.6 # correct,T0.6 recall,T0.6 precision,T0.6 F1,T0.4 selected col,T0.4 # correct,T0.4 recall,T0.4 precision,T0.4 F1,T0.2 selected col,T0.2 # correct,T0.2 recall,T0.2 precision,T0.2 F1
List the names of patients who have made appointments.,"['ssn', 'name']","['patient', 'name']",1,0.5,0.5,0.5,"['patient', 'name']",1,0.5,0.5,0.5,"['patient', 'name']",1,0.5,0.5,0.5
What are the statuses and average populations of each city?,"['population', 'status']","['population', 'status']",2,1.0,1.0,1.0,"['population', 'official_name', 'status', 'area_km_2', 'census_ranking']",2,1.0,0.4,0.58,"['population', 'official_name', 'city_id', 'status', 'area_km_2', 'census_ranking']",2,1.0,0.33,0.5
What are the names of patients who are not taking the medication of Procrastin-X.,"['name', 'ssn', 'code']","['medication', 'patient', 'name']",1,0.33,0.33,0.34,"['medication', 'patient', 'name']",1,0.33,0.33,0.34,"['medication', 'patient', 'name']",1,0.33,0.33,0.34
Which nurses are in charge of patients undergoing treatments?,"['employeeid', 'assistingnurse', 'name']","['nurse', 'patient']",0,0.0,0.0,,"['nurse', 'patient']",0,0.0,0.0,,"['nurse', 'patient']",0,0.0,0.0,
Find the physician who prescribed the highest dose. What is his or her name?,"['dose', 'employeeid', 'name']",['physician'],0,0.0,0.0,,['physician'],0,0.0,0.0,,['physician'],0,0.0,0.0,
Show names of musicals and the number of actors who have appeared in the musicals.,"['musical_id', 'name']","['musical_id', 'name']",2,1.0,1.0,1.0,"['musical_id', 'duration', 'name', 'character']",2,1.0,0.5,0.66,"['musical_id', 'name', 'character', 'age', 'actor_id', 'duration']",2,1.0,0.33,0.5
How many cinema do we have?,[],"['capacity', 'cinema_id', 'name']",0,,0.0,,"['show_times_per_day', 'name', 'cinema_id', 'capacity', 'film_id', 'openning_year', 'location']",0,,0.0,,"['show_times_per_day', 'name', 'cinema_id', 'capacity', 'price', 'film_id', 'openning_year', 'location']",0,,0.0,
What are the themes of farm competitions sorted by year in ascending order?,"['theme', 'year']","['rank', 'farm_id', 'theme', 'year']",2,1.0,0.5,0.66,"['competition_id', 'working_horses', 'rank', 'farm_id', 'theme', 'hosts', 'year']",2,1.0,0.29,0.44,"['total_horses', 'bulls', 'competition_id', 'cows', 'total_cattle', 'working_horses', 'oxen', 'farm_id', 'rank', 'theme', 'year', 'hosts', 'sheep_and_goats', 'pigs']",2,1.0,0.14,0.24
Which physicians prescribe a medication of brand X? Tell me the name and position of those physicians.,"['brand', 'name', 'employeeid', 'position', 'code']","['brand', 'name', 'medication', 'physician', 'position']",3,0.6,0.6,0.6,"['brand', 'name', 'medication', 'physician', 'position']",3,0.6,0.6,0.6,"['brand', 'name', 'medication', 'physician', 'position']",3,0.6,0.6,0.6
"What is the total horses record for each farm, sorted ascending?",['total_horses'],"['total_horses', 'working_horses']",1,1.0,0.5,0.66,"['total_horses', 'bulls', 'cows', 'oxen', 'total_cattle', 'working_horses', 'farm_id', 'rank', 'year', 'sheep_and_goats', 'pigs']",1,1.0,0.09,0.16,"['total_horses', 'bulls', 'cows', 'total_cattle', 'working_horses', 'oxen', 'farm_id', 'rank', 'year', 'sheep_and_goats', 'pigs']",1,1.0,0.09,0.16
"Show the average, minimum, and maximum capacity for all the cinemas opened in year 2011 or later.","['openning_year', 'capacity']","['openning_year', 'capacity']",2,1.0,1.0,1.0,"['show_times_per_day', 'name', 'cinema_id', 'capacity', 'openning_year', 'location']",2,1.0,0.33,0.5,"['show_times_per_day', 'name', 'date', 'cinema_id', 'capacity', 'price', 'film_id', 'openning_year', 'location']",2,1.0,0.22,0.36
Find the name and position of physicians who prescribe some medication whose brand is X?,"['brand', 'name', 'employeeid', 'position', 'code']","['brand', 'name', 'medication', 'physician', 'position']",3,0.6,0.6,0.6,"['brand', 'name', 'medication', 'physician', 'position']",3,0.6,0.6,0.6,"['brand', 'name', 'medication', 'physician', 'position']",3,0.6,0.6,0.6
What are the names of patients who are staying in room 111 and have an undergoing treatment?,"['room', 'name', 'stayid', 'ssn']","['room', 'patient', 'name']",2,0.5,0.67,0.58,"['room', 'patient', 'name']",2,0.5,0.67,0.58,"['room', 'patient', 'name']",2,0.5,0.67,0.58
List the name of actors whose age is not 20.,"['age', 'name']","['age', 'name']",2,1.0,1.0,1.0,"['age', 'musical_id', 'actor_id', 'name']",2,1.0,0.5,0.66,"['musical_id', 'name', 'character', 'age', 'actor_id', 'duration']",2,1.0,0.33,0.5
Who are the nominees who have been nominated for both a Tony Award and a Drama Desk Award?,"['nominee', 'award']","['nominee', 'award']",2,1.0,1.0,1.0,"['category', 'result', 'nominee', 'award']",2,1.0,0.5,0.66,"['nominee', 'musical_id', 'name', 'result', 'year', 'category', 'award']",2,1.0,0.29,0.44
list the names of the companies with more than 200 sales in the descending order of sales and profits.,"['sales_in_billion', 'name', 'profits_in_billion']",['name'],1,0.33,1.0,0.5,"['industry', 'sales_in_billion', 'name']",2,0.67,0.67,0.68,"['industry', 'sales_in_billion', 'market_value_in_billion', 'headquarters', 'profits_in_billion', 'assets_in_billion', 'name', 'company_id']",3,1.0,0.38,0.56
What is the alphabetically ordered list of all distinct medications?,['name'],[],0,0.0,,,[],0,0.0,,,[],0,0.0,,
What is the employee id of the head whose department has the least number of employees?,"['head', 'departmentid']",['head'],1,0.5,1.0,0.66,"['dname', 'mgr_start_date', 'dnumber', 'head', 'mgr_ssn']",1,0.5,0.2,0.28,"['dname', 'mgr_start_date', 'dnumber', 'head', 'mgr_ssn']",1,0.5,0.2,0.28
Find the ids and names of members who are under age 30 or with black membership card.,"['age', 'member_id', 'membership_card', 'name']","['age', 'name']",2,0.5,1.0,0.66,"['address', 'name', 'age', 'level_of_membership', 'membership_card']",3,0.75,0.6,0.66,"['address', 'member_id', 'name', 'age', 'level_of_membership', 'membership_card']",4,1.0,0.67,0.8
Show the official names of the cities that have hosted more than one competition.,"['host_city_id', 'city_id', 'official_name']",['hosts'],0,0.0,0.0,,"['competition_id', 'host_city_id', 'theme', 'year', 'hosts']",1,0.33,0.2,0.24,"['competition_id', 'host_city_id', 'rank', 'farm_id', 'theme', 'year', 'hosts']",1,0.33,0.14,0.2
Show the names of employees that work for companies with sales bigger than 200.,"['people_id', 'company_id', 'sales_in_billion', 'name']",['name'],1,0.25,1.0,0.4,['name'],1,0.25,1.0,0.4,['name'],1,0.25,1.0,0.4
What are the title and maximum price of each film?,"['film_id', 'title', 'price']",['title'],1,0.33,1.0,0.5,"['rank_in_series', 'directed_by', 'number_in_season', 'production_code', 'film_id', 'title']",2,0.67,0.33,0.44,"['original_air_date', 'rank_in_series', 'directed_by', 'number_in_season', 'production_code', 'film_id', 'title']",2,0.67,0.29,0.4
List all department names ordered by their starting date.,"['dname', 'mgr_start_date']","['dname', 'mgr_start_date', 'name']",2,1.0,0.67,0.8,"['dname', 'mgr_start_date', 'name', 'dnumber', 'mgr_ssn']",2,1.0,0.4,0.58,"['dname', 'mgr_start_date', 'name', 'dnumber', 'mgr_ssn']",2,1.0,0.4,0.58
Count the number of actors.,[],[],0,,,,"['musical_id', 'name', 'character', 'age', 'actor_id', 'duration']",0,,0.0,,"['musical_id', 'assets_in_billion', 'name', 'character', 'age', 'actor_id', 'duration']",0,,0.0,
Find the names of nurses who are on call.,"['employeeid', 'name']","['nurse', 'name']",1,0.5,0.5,0.5,"['nurse', 'name']",1,0.5,0.5,0.5,"['nurse', 'name']",1,0.5,0.5,0.5
Who are the nominees who were nominated for either of the Bob Fosse or Cleavant Derricks awards?,"['nominee', 'award']",['nominee'],1,0.5,1.0,0.66,"['category', 'result', 'nominee', 'award']",2,1.0,0.5,0.66,"['category', 'result', 'nominee', 'award']",2,1.0,0.5,0.66
How many actors have appeared in each musical?,"['musical_id', 'name']","['musical_id', 'duration', 'character']",1,0.5,0.33,0.4,"['musical_id', 'name', 'character', 'age', 'actor_id', 'duration']",2,1.0,0.33,0.5,"['musical_id', 'name', 'character', 'age', 'actor_id', 'duration']",2,1.0,0.33,0.5
What are the official names of cities that have population over 1500 or less than 500?,"['official_name', 'population']",['population'],1,0.5,1.0,0.66,"['population', 'official_name', 'status']",2,1.0,0.67,0.8,"['population', 'official_name', 'city_id', 'status', 'area_km_2', 'census_ranking']",2,1.0,0.33,0.5
Count how many appointments have been made in total.,[],['appointment'],0,,0.0,,['appointment'],0,,0.0,,['appointment'],0,,0.0,
What is the duration of the oldest actor?,"['age', 'duration']","['age', 'duration']",2,1.0,1.0,1.0,"['musical_id', 'name', 'age', 'actor_id', 'duration']",2,1.0,0.4,0.58,"['musical_id', 'name', 'character', 'age', 'actor_id', 'duration']",2,1.0,0.33,0.5
