query,actual col,# actual col,T0.6 selected col,T0.6 # correct,T0.6 recall,T0.6 precision,T0.6 F1,T0.4 selected col,T0.4 # correct,T0.4 recall,T0.4 precision,T0.4 F1,T0.2 selected col,T0.2 # correct,T0.2 recall,T0.2 precision,T0.2 F1
Find the ids of the nurses who are on call in block floor 1 and block code 1.,"['blockcode', 'blockfloor', 'nurse']",3,"['code', 'blockcode', 'blockfloor', 'nurse']",3,1.0,0.75,0.86,"['room', 'employeeid', 'patient', 'blockcode', 'stayid', 'phone', 'code', 'nurse', 'registered', 'blockfloor']",3,1.0,0.3,0.46,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'pcp', 'nurse', 'roomnumber', 'physician', 'oncallstart', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'unavailable', 'blockfloor', 'room', 'employeeid', 'department', 'assistingnurse', 'start', 'registered', 'patient', 'roomtype', 'ssn', 'blockcode', 'medication', 'address', 'appointmentid']",3,1.0,0.1,0.18
List the name of actors in ascending alphabetical order.,['name'],1,['name'],1,1.0,1.0,1.0,"['character', 'name', 'musical_id', 'actor_id', 'duration', 'age']",1,1.0,0.17,0.3,"['character', 'name', 'musical_id', 'actor_id', 'episode', 'duration', 'weekly_rank', 'id', 'age']",1,1.0,0.11,0.2
Which department has the largest number of employees?,"['name', 'departmentid']",2,[],0,0.0,ZeroDivisionError,,"['dname', 'mgr_ssn', 'dnumber']",0,0.0,0.0,ZeroDivisionError,"['dname', 'mgr_ssn', 'mgr_start_date', 'dnumber']",0,0.0,0.0,ZeroDivisionError
How many different types of rooms are there?,['roomtype'],1,"['roomnumber', 'room', 'roomtype']",1,1.0,0.33,0.5,"['roomnumber', 'room', 'blockcode', 'unavailable', 'blockfloor', 'roomtype']",1,1.0,0.17,0.3,"['roomnumber', 'examinationroom', 'room', 'patient', 'blockcode', 'stayid', 'unavailable', 'blockfloor', 'roomtype']",1,1.0,0.11,0.2
What are the names of actors and the musicals that they are in?,"['name', 'musical_id']",2,['name'],1,0.5,1.0,0.66,"['result', 'name', 'nominee', 'year']",1,0.5,0.25,0.34,"['result', 'name', 'musical_id', 'nominee', 'award', 'year']",2,1.0,0.33,0.5
Show all the cinema names and opening years in descending order of opening year.,"['name', 'openning_year']",2,"['name', 'openning_year']",2,1.0,1.0,1.0,"['location', 'cinema_id', 'name', 'openning_year']",2,1.0,0.5,0.66,"['location', 'cinema_id', 'name', 'film_id', 'capacity', 'openning_year', 'date', 'show_times_per_day']",2,1.0,0.25,0.4
Find the distinct locations that has a cinema.,['location'],1,"['location', 'cinema_id', 'name']",1,1.0,0.33,0.5,"['location', 'cinema_id', 'name', 'film_id', 'capacity', 'openning_year']",1,1.0,0.17,0.3,"['location', 'cinema_id', 'name', 'film_id', 'capacity', 'openning_year', 'show_times_per_day']",1,1.0,0.14,0.24
List the most common type of Status across cities.,['status'],1,['status'],1,1.0,1.0,1.0,"['status', 'city_id', 'official_name', 'population']",1,1.0,0.25,0.4,"['status', 'census_ranking', 'official_name', 'area_km_2', 'city_id', 'population']",1,1.0,0.17,0.3
What are the distinct names of nurses on call?,"['employeeid', 'name']",2,"['position', 'name', 'nurse']",1,0.5,0.33,0.4,"['physician', 'name', 'ssn', 'employeeid', 'position', 'prepnurse', 'blockfloor', 'blockcode', 'assistingnurse', 'phone', 'nurse', 'address', 'registered', 'patient']",2,1.0,0.14,0.24,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'pcp', 'nurse', 'physician', 'oncallstart', 'examinationroom', 'appointment', 'insuranceid', 'phone', 'code', 'blockfloor', 'room', 'employeeid', 'department', 'assistingnurse', 'start', 'oncallend', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'brand', 'blockcode', 'medication', 'address', 'appointmentid']",2,1.0,0.06,0.12
What are the characters and duration of actors?,"['character', 'duration']",2,"['character', 'duration', 'age']",2,1.0,0.67,0.8,"['character', 'name', 'musical_id', 'actor_id', 'duration', 'age']",2,1.0,0.33,0.5,"['character', 'share', 'name', 'musical_id', 'actor_id', 'episode', 'duration', 'air_date', 'id', 'rating', 'age']",2,1.0,0.18,0.3
Find the patient who has the most recent undergoing treatment?,"['dateundergoes', 'patient']",2,"['name', 'patient', 'treatment']",1,0.5,0.33,0.4,"['physician', 'name', 'ssn', 'appointment', 'room', 'treatment', 'position', 'insuranceid', 'stayid', 'pcp', 'phone', 'address', 'patient']",1,0.5,0.08,0.14,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'blockfloor', 'room', 'employeeid', 'staystart', 'assistingnurse', 'start', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'dose', 'dateundergoes', 'blockcode', 'medication', 'stayend', 'address', 'appointmentid']",2,1.0,0.06,0.12
Find the name and position of the head of the department with the least employees.,"['head', 'name', 'departmentid', 'employeeid', 'position']",5,"['position', 'name', 'department']",2,0.4,0.67,0.5,"['department', 'position', 'name']",2,0.4,0.67,0.5,"['physician', 'name', 'ssn', 'appointment', 'employeeid', 'position', 'department', 'insuranceid', 'staystart', 'primaryaffiliation', 'phone', 'pcp', 'code', 'nurse', 'start', 'address', 'patient', 'appointmentid']",3,0.6,0.17,0.26
"Show cinema name, film title, date, and price for each record in schedule.","['cinema_id', 'name', 'film_id', 'title', 'price', 'date']",6,['title'],1,0.17,1.0,0.3,"['production_code', 'film_id', 'title', 'number_in_season', 'rank_in_series']",2,0.33,0.4,0.36,"['production_code', 'film_id', 'title', 'original_air_date', 'number_in_season', 'rank_in_series', 'directed_by']",2,0.33,0.29,0.3
Return the duration of the actor with the greatest age.,"['duration', 'age']",2,"['duration', 'age']",2,1.0,1.0,1.0,"['age', 'name', 'actor_id', 'duration']",2,1.0,0.5,0.66,"['character', 'name', 'musical_id', 'actor_id', 'episode', 'duration', '18_49_rating_share', 'air_date', 'id', 'age']",2,1.0,0.2,0.34
How many patients' prescriptions are made by physician John Dorian?,"['name', 'ssn', 'employeeid']",3,['physician'],0,0.0,0.0,ZeroDivisionError,"['physician', 'name', 'brand', 'appointment', 'dose', 'medication', 'pcp', 'phone', 'date', 'patient']",1,0.33,0.1,0.16,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'physician', 'appointment', 'insuranceid', 'phone', 'code', 'employeeid', 'assistingnurse', 'cost', 'start', 'patient', 'ssn', 'brand', 'treatment', 'dose', 'dateundergoes', 'medication', 'address']",3,1.0,0.12,0.22
What are the characters of actors in descending order of age?,"['character', 'age']",2,"['character', 'age']",2,1.0,1.0,1.0,"['character', 'name', 'musical_id', 'actor_id', 'duration', 'age']",2,1.0,0.33,0.5,"['character', 'name', 'musical_id', 'actor_id', 'episode', 'duration', '18_49_rating_share', 'air_date', 'weekly_rank', 'id', 'age']",2,1.0,0.18,0.3
What is the id of the appointment that started most recently?,"['appointmentid', 'start']",2,"['physician', 'appointment', 'start', 'end', 'appointmentid']",2,1.0,0.4,0.58,"['name', 'procedures', 'stayid', 'nurse', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'room', 'employeeid', 'department', 'start', 'end', 'registered', 'patient', 'dateundergoes', 'address', 'appointmentid']",2,1.0,0.1,0.18,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'pcp', 'date', 'nurse', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'certificationdate', 'blockfloor', 'certificationexpires', 'room', 'employeeid', 'department', 'staystart', 'assistingnurse', 'cost', 'start', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'dateundergoes', 'blockcode', 'medication', 'stayend', 'address', 'appointmentid']",2,1.0,0.06,0.12
Show each location and the number of cinemas there.,['location'],1,['location'],1,1.0,1.0,1.0,"['location', 'cinema_id', 'name', 'film_id', 'capacity', 'openning_year', 'show_times_per_day']",1,1.0,0.14,0.24,"['location', 'cinema_id', 'name', 'film_id', 'capacity', 'price', 'openning_year', 'show_times_per_day']",1,1.0,0.12,0.22
Find the three most expensive procedures.,"['cost', 'name']",2,"['cost', 'procedures']",1,0.5,0.5,0.5,"['physician', 'cost', 'procedures', 'name']",2,1.0,0.5,0.66,"['physician', 'name', 'examinationroom', 'appointment', 'treatment', 'stay', 'procedures', 'prepnurse', 'dateundergoes', 'pcp', 'cost', 'assistingnurse', 'code', 'patient']",2,1.0,0.14,0.24
What is the name of the nurse has the most appointments?,"['name', 'employeeid', 'prepnurse']",3,"['position', 'name', 'nurse']",1,0.33,0.33,0.34,"['name', 'position', 'prepnurse', 'pcp', 'nurse', 'physician', 'examinationroom', 'appointment', 'phone', 'blockfloor', 'employeeid', 'assistingnurse', 'start', 'end', 'registered', 'patient', 'blockcode', 'address', 'appointmentid']",3,1.0,0.16,0.28,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'pcp', 'date', 'nurse', 'roomnumber', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'blockfloor', 'room', 'employeeid', 'department', 'assistingnurse', 'start', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'dateundergoes', 'blockcode', 'medication', 'address', 'appointmentid']",3,1.0,0.09,0.16
List the nominees that have been nominated more than two musicals.,['nominee'],1,"['result', 'nominee']",1,1.0,0.5,0.66,"['result', 'name', 'musical_id', 'nominee', 'award', 'year']",1,1.0,0.17,0.3,"['result', 'name', 'musical_id', 'nominee', 'award', 'category', 'year']",1,1.0,0.14,0.24
How many medications are prescribed for each brand?,"['name', 'code', 'brand']",3,"['medication', 'brand']",1,0.33,0.5,0.4,"['physician', 'name', 'brand', 'appointment', 'dose', 'medication', 'description', 'date', 'code', 'patient']",3,1.0,0.3,0.46,"['name', 'position', 'stayid', 'description', 'pcp', 'date', 'physician', 'appointment', 'insuranceid', 'phone', 'code', 'employeeid', 'patient', 'ssn', 'brand', 'treatment', 'dose', 'medication', 'address']",3,1.0,0.16,0.28
Who are all the directors?,['directed_by'],1,['directed_by'],1,1.0,1.0,1.0,"['title', 'rank_in_series', 'production_code', 'directed_by']",1,1.0,0.25,0.4,"['production_code', 'film_id', 'title', 'original_air_date', 'number_in_season', 'rank_in_series', 'directed_by']",1,1.0,0.14,0.24
How many companies are headquartered in the US?,['headquarters'],1,[],0,0.0,ZeroDivisionError,,"['name', 'industry', 'headquarters']",1,1.0,0.33,0.5,"['name', 'market_value_in_billion', 'assets_in_billion', 'industry', 'headquarters', 'sales_in_billion', 'profits_in_billion', 'company_id']",1,1.0,0.12,0.22
Show the title and director for all films.,"['title', 'directed_by']",2,"['title', 'directed_by']",2,1.0,1.0,1.0,"['production_code', 'film_id', 'title', 'number_in_season', 'rank_in_series', 'directed_by']",2,1.0,0.33,0.5,"['production_code', 'film_id', 'title', 'original_air_date', 'number_in_season', 'rank_in_series', 'directed_by']",2,1.0,0.29,0.44
Find the physicians who are trained in a procedure that costs more than 5000.,"['name', 'treatment', 'employeeid', 'cost', 'code']",5,"['cost', 'physician']",1,0.2,0.5,0.28,"['physician', 'name', 'position', 'pcp', 'cost', 'patient']",2,0.4,0.33,0.36,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'pcp', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'employeeid', 'assistingnurse', 'cost', 'start', 'patient', 'ssn', 'treatment', 'dose', 'dateundergoes', 'medication', 'address']",5,1.0,0.21,0.34
Show names of actors and names of musicals they are in.,"['name', 'musical_id']",2,['name'],1,0.5,1.0,0.66,"['result', 'name', 'musical_id', 'nominee', 'award', 'year']",2,1.0,0.33,0.5,"['result', 'name', 'musical_id', 'nominee', 'award', 'year']",2,1.0,0.33,0.5
List the official names of cities that have not held any competition.,"['city_id', 'official_name', 'host_city_id']",3,[],0,0.0,ZeroDivisionError,,"['status', 'official_name', 'population']",1,0.33,0.33,0.34,"['status', 'official_name', 'area_km_2', 'city_id', 'population']",2,0.67,0.4,0.5
Find the number of rooms located on each block floor.,"['blockcode', 'blockfloor']",2,"['roomnumber', 'blockcode', 'blockfloor', 'room']",2,1.0,0.5,0.66,"['roomnumber', 'room', 'blockcode', 'blockfloor', 'roomtype']",2,1.0,0.4,0.58,"['roomnumber', 'examinationroom', 'room', 'patient', 'blockcode', 'unavailable', 'blockfloor', 'roomtype']",2,1.0,0.25,0.4
List the name and cost of all procedures sorted by the cost from the highest to the lowest.,"['cost', 'name']",2,"['cost', 'name']",2,1.0,1.0,1.0,"['cost', 'name']",2,1.0,1.0,1.0,"['physician', 'name', 'appointment', 'treatment', 'stay', 'position', 'procedures', 'dateundergoes', 'assistingnurse', 'cost', 'code', 'patient']",2,1.0,0.17,0.3
Which physician was trained in the procedure that costs the most.,"['name', 'treatment', 'employeeid', 'cost', 'code']",5,"['physician', 'cost', 'name']",2,0.4,0.67,0.5,"['physician', 'name', 'position', 'procedures', 'pcp', 'cost', 'assistingnurse', 'patient']",2,0.4,0.25,0.3,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'employeeid', 'assistingnurse', 'cost', 'start', 'end', 'patient', 'ssn', 'treatment', 'dose', 'dateundergoes', 'medication', 'address']",5,1.0,0.19,0.32
How many rooms are located for each block code?,"['blockcode', 'blockfloor']",2,"['roomnumber', 'room', 'blockcode', 'code', 'blockfloor']",2,1.0,0.4,0.58,"['roomnumber', 'room', 'blockcode', 'code', 'blockfloor', 'roomtype']",2,1.0,0.33,0.5,"['roomnumber', 'examinationroom', 'room', 'patient', 'blockcode', 'code', 'unavailable', 'blockfloor', 'roomtype']",2,1.0,0.22,0.36
Show the names of companies and the number of employees they have,"['name', 'people_id', 'company_id']",3,['name'],1,0.33,1.0,0.5,['name'],1,0.33,1.0,0.5,['name'],1,0.33,1.0,0.5
Who is the nominee who has been nominated for the most musicals?,['nominee'],1,"['result', 'nominee']",1,1.0,0.5,0.66,"['result', 'name', 'musical_id', 'nominee', 'award', 'year']",1,1.0,0.17,0.3,"['result', 'name', 'musical_id', 'nominee', 'award', 'category', 'year']",1,1.0,0.14,0.24
Show names of companies and that of employees in descending order of number of years working for that employee.,"['year_working', 'name', 'people_id', 'company_id']",4,['name'],1,0.25,1.0,0.4,['name'],1,0.25,1.0,0.4,['name'],1,0.25,1.0,0.4
Return the first names and last names of employees who earn more than 30000 in salary.,"['salary', 'fname', 'lname']",3,['salary'],1,0.33,1.0,0.5,"['salary', 'fname', 'lname']",3,1.0,1.0,1.0,"['sex', 'ssn', 'super_ssn', 'minit', 'salary', 'bdate', 'lname', 'address', 'fname', 'dno']",3,1.0,0.3,0.46
Show the different headquarters and number of companies at each headquarter.,['headquarters'],1,['headquarters'],1,1.0,1.0,1.0,"['name', 'industry', 'headquarters']",1,1.0,0.33,0.5,"['name', 'market_value_in_billion', 'assets_in_billion', 'industry', 'headquarters', 'sales_in_billion', 'profits_in_billion', 'company_id']",1,1.0,0.12,0.22
List the physicians' employee ids together with their primary affiliation departments' ids.,"['primaryaffiliation', 'physician', 'department']",3,"['employeeid', 'physician']",1,0.33,0.5,0.4,"['physician', 'name', 'ssn', 'employeeid', 'position', 'department', 'insuranceid', 'stayid', 'pcp', 'address', 'patient', 'appointmentid']",2,0.67,0.17,0.28,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'pcp', 'date', 'nurse', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'room', 'employeeid', 'department', 'primaryaffiliation', 'assistingnurse', 'start', 'end', 'registered', 'patient', 'ssn', 'blockcode', 'medication', 'address', 'appointmentid']",3,1.0,0.1,0.18
What is the headquarter of the company with the largest sales?,"['sales_in_billion', 'headquarters']",2,['name'],0,0.0,0.0,ZeroDivisionError,"['name', 'market_value_in_billion', 'headquarters', 'sales_in_billion', 'profits_in_billion', 'industry']",2,1.0,0.33,0.5,"['name', 'market_value_in_billion', 'assets_in_billion', 'industry', 'headquarters', 'sales_in_billion', 'profits_in_billion', 'company_id']",2,1.0,0.25,0.4
Compute the mean price of procedures physician John Wen was trained in.,"['name', 'treatment', 'employeeid', 'cost', 'code']",5,['physician'],0,0.0,0.0,ZeroDivisionError,"['cost', 'physician']",1,0.2,0.5,0.28,"['name', 'position', 'procedures', 'pcp', 'date', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'employeeid', 'assistingnurse', 'cost', 'start', 'patient', 'ssn', 'treatment', 'dose', 'dateundergoes', 'medication']",5,1.0,0.23,0.38
What are the name and primarily affiliated department name of each physician?,"['name', 'departmentid', 'employeeid', 'primaryaffiliation']",4,"['physician', 'position', 'name', 'department']",1,0.25,0.25,0.24,"['physician', 'name', 'ssn', 'appointment', 'employeeid', 'position', 'department', 'insuranceid', 'medication', 'pcp', 'address', 'patient']",2,0.5,0.17,0.26,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'room', 'employeeid', 'department', 'primaryaffiliation', 'assistingnurse', 'start', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'dose', 'blockcode', 'medication', 'address', 'appointmentid']",3,0.75,0.09,0.16
How many members have the black membership card?,['membership_card'],1,['membership_card'],1,1.0,1.0,1.0,"['level_of_membership', 'name', 'membership_card', 'address', 'age']",1,1.0,0.2,0.34,"['num_of_staff_in_charge', 'level_of_membership', 'name', 'total_amount', 'member_id', 'num_of_staff', 'membership_card', 'address', 'age']",1,1.0,0.11,0.2
What are the names of the physicians who have 'senior' in their titles.,"['position', 'name']",2,"['physician', 'position', 'name']",2,1.0,0.67,0.8,"['physician', 'name', 'employeeid', 'position', 'pcp', 'patient']",2,1.0,0.33,0.5,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'physician', 'appointment', 'insuranceid', 'phone', 'employeeid', 'department', 'assistingnurse', 'registered', 'patient', 'ssn', 'brand', 'treatment', 'medication', 'address', 'appointmentid']",2,1.0,0.08,0.14
